starttime	seconds	ctime	dtime	ttime	wait
Tue Feb 13 11:20:29 2024	1707819629	0	42	42	42
Tue Feb 13 11:20:31 2024	1707819631	0	42	42	42
Tue Feb 13 11:20:28 2024	1707819628	0	42	42	42
Tue Feb 13 11:20:31 2024	1707819631	0	42	42	42
Tue Feb 13 11:20:28 2024	1707819628	0	42	42	42
Tue Feb 13 11:20:32 2024	1707819632	0	42	42	42
Tue Feb 13 11:20:31 2024	1707819631	0	42	42	42
Tue Feb 13 11:20:28 2024	1707819628	0	42	42	42
Tue Feb 13 11:20:33 2024	1707819633	0	42	42	42
Tue Feb 13 11:20:31 2024	1707819631	0	42	42	42
Tue Feb 13 11:20:33 2024	1707819633	0	42	42	42
Tue Feb 13 11:20:31 2024	1707819631	0	42	42	42
Tue Feb 13 11:20:36 2024	1707819636	0	42	42	42
Tue Feb 13 11:20:29 2024	1707819629	0	42	42	42
Tue Feb 13 11:20:30 2024	1707819630	0	43	43	42
Tue Feb 13 11:20:32 2024	1707819632	0	43	43	42
Tue Feb 13 11:20:32 2024	1707819632	0	43	43	42
Tue Feb 13 11:20:30 2024	1707819630	0	43	43	42
Tue Feb 13 11:20:35 2024	1707819635	0	43	43	43
Tue Feb 13 11:20:28 2024	1707819628	0	43	43	43
Tue Feb 13 11:20:33 2024	1707819633	0	43	43	43
Tue Feb 13 11:20:30 2024	1707819630	0	43	43	43
Tue Feb 13 11:20:32 2024	1707819632	0	43	43	43
Tue Feb 13 11:20:30 2024	1707819630	0	43	43	43
Tue Feb 13 11:20:31 2024	1707819631	0	43	43	43
Tue Feb 13 11:20:29 2024	1707819629	0	43	43	43
Tue Feb 13 11:20:37 2024	1707819637	0	43	43	43
Tue Feb 13 11:20:28 2024	1707819628	0	43	43	43
Tue Feb 13 11:20:30 2024	1707819630	0	43	43	43
Tue Feb 13 11:20:35 2024	1707819635	0	43	43	43
Tue Feb 13 11:20:30 2024	1707819630	0	43	43	43
Tue Feb 13 11:20:35 2024	1707819635	0	43	43	43
Tue Feb 13 11:20:37 2024	1707819637	0	43	43	43
Tue Feb 13 11:20:31 2024	1707819631	0	43	43	43
Tue Feb 13 11:20:31 2024	1707819631	0	43	43	43
Tue Feb 13 11:20:38 2024	1707819638	0	43	43	43
Tue Feb 13 11:20:37 2024	1707819637	0	43	43	43
Tue Feb 13 11:20:30 2024	1707819630	0	43	43	43
Tue Feb 13 11:20:36 2024	1707819636	0	43	43	43
Tue Feb 13 11:20:38 2024	1707819638	0	43	43	43
Tue Feb 13 11:20:29 2024	1707819629	0	43	43	43
Tue Feb 13 11:20:29 2024	1707819629	0	44	44	43
Tue Feb 13 11:20:33 2024	1707819633	0	44	44	43
Tue Feb 13 11:20:29 2024	1707819629	0	44	44	44
Tue Feb 13 11:20:36 2024	1707819636	0	44	44	44
Tue Feb 13 11:20:29 2024	1707819629	0	44	44	44
Tue Feb 13 11:20:30 2024	1707819630	0	44	44	44
Tue Feb 13 11:20:33 2024	1707819633	0	44	44	44
Tue Feb 13 11:20:33 2024	1707819633	0	44	44	44
Tue Feb 13 11:20:35 2024	1707819635	0	44	44	44
Tue Feb 13 11:20:34 2024	1707819634	0	44	44	44
Tue Feb 13 11:20:35 2024	1707819635	0	44	44	44
Tue Feb 13 11:20:30 2024	1707819630	0	44	44	44
Tue Feb 13 11:20:36 2024	1707819636	0	44	44	44
Tue Feb 13 11:20:34 2024	1707819634	0	44	44	44
Tue Feb 13 11:20:36 2024	1707819636	0	44	44	44
Tue Feb 13 11:20:34 2024	1707819634	0	44	44	44
Tue Feb 13 11:20:37 2024	1707819637	0	44	44	44
Tue Feb 13 11:20:33 2024	1707819633	0	44	44	44
Tue Feb 13 11:20:34 2024	1707819634	0	44	44	44
Tue Feb 13 11:20:34 2024	1707819634	0	44	44	44
Tue Feb 13 11:20:30 2024	1707819630	0	44	44	44
Tue Feb 13 11:20:29 2024	1707819629	0	44	44	44
Tue Feb 13 11:20:38 2024	1707819638	0	44	44	44
Tue Feb 13 11:20:37 2024	1707819637	0	44	44	44
Tue Feb 13 11:20:35 2024	1707819635	0	44	44	44
Tue Feb 13 11:20:39 2024	1707819639	0	44	44	44
Tue Feb 13 11:20:39 2024	1707819639	0	45	45	44
Tue Feb 13 11:20:33 2024	1707819633	0	45	45	45
Tue Feb 13 11:20:32 2024	1707819632	0	45	45	45
Tue Feb 13 11:20:32 2024	1707819632	0	45	45	45
Tue Feb 13 11:20:38 2024	1707819638	0	45	45	45
Tue Feb 13 11:20:31 2024	1707819631	0	45	45	45
Tue Feb 13 11:20:33 2024	1707819633	0	45	45	45
Tue Feb 13 11:20:30 2024	1707819630	0	45	45	45
Tue Feb 13 11:20:33 2024	1707819633	0	45	45	45
Tue Feb 13 11:20:39 2024	1707819639	0	45	45	45
Tue Feb 13 11:20:37 2024	1707819637	0	45	45	45
Tue Feb 13 11:20:38 2024	1707819638	0	45	45	45
Tue Feb 13 11:20:35 2024	1707819635	0	45	45	45
Tue Feb 13 11:20:30 2024	1707819630	0	45	45	45
Tue Feb 13 11:20:37 2024	1707819637	0	45	45	45
Tue Feb 13 11:20:36 2024	1707819636	0	45	45	45
Tue Feb 13 11:20:38 2024	1707819638	0	45	45	45
Tue Feb 13 11:20:35 2024	1707819635	0	45	45	45
Tue Feb 13 11:20:36 2024	1707819636	0	46	46	45
Tue Feb 13 11:20:32 2024	1707819632	0	46	46	45
Tue Feb 13 11:20:35 2024	1707819635	0	46	46	46
Tue Feb 13 11:20:30 2024	1707819630	0	46	46	46
Tue Feb 13 11:20:35 2024	1707819635	0	46	46	46
Tue Feb 13 11:20:38 2024	1707819638	0	46	46	46
Tue Feb 13 11:20:31 2024	1707819631	0	46	46	46
Tue Feb 13 11:20:39 2024	1707819639	0	46	46	46
Tue Feb 13 11:20:39 2024	1707819639	0	46	46	46
Tue Feb 13 11:20:36 2024	1707819636	0	46	46	46
Tue Feb 13 11:20:37 2024	1707819637	0	46	46	46
Tue Feb 13 11:20:35 2024	1707819635	0	46	46	46
Tue Feb 13 11:20:30 2024	1707819630	0	46	46	46
Tue Feb 13 11:20:30 2024	1707819630	0	46	46	46
Tue Feb 13 11:20:38 2024	1707819638	0	46	46	46
Tue Feb 13 11:20:30 2024	1707819630	0	46	46	46
Tue Feb 13 11:20:37 2024	1707819637	0	46	46	46
Tue Feb 13 11:20:36 2024	1707819636	0	46	46	46
Tue Feb 13 11:20:39 2024	1707819639	0	46	46	46
Tue Feb 13 11:20:29 2024	1707819629	0	46	46	46
Tue Feb 13 11:20:37 2024	1707819637	0	46	46	46
Tue Feb 13 11:20:36 2024	1707819636	0	46	46	46
Tue Feb 13 11:20:28 2024	1707819628	0	46	46	46
Tue Feb 13 11:20:33 2024	1707819633	0	46	46	46
Tue Feb 13 11:20:38 2024	1707819638	0	47	47	46
Tue Feb 13 11:20:36 2024	1707819636	0	47	47	47
Tue Feb 13 11:20:31 2024	1707819631	0	47	47	47
Tue Feb 13 11:20:39 2024	1707819639	0	47	47	47
Tue Feb 13 11:20:35 2024	1707819635	0	47	47	47
Tue Feb 13 11:20:35 2024	1707819635	0	47	47	47
Tue Feb 13 11:20:35 2024	1707819635	0	47	47	47
Tue Feb 13 11:20:30 2024	1707819630	0	47	47	47
Tue Feb 13 11:20:35 2024	1707819635	0	47	47	47
Tue Feb 13 11:20:34 2024	1707819634	0	47	47	47
Tue Feb 13 11:20:34 2024	1707819634	0	47	47	47
