starttime	seconds	ctime	dtime	ttime	wait
Tue Feb 13 11:20:47 2024	1707819647	0	40	40	40
Tue Feb 13 11:20:48 2024	1707819648	0	40	40	40
Tue Feb 13 11:20:47 2024	1707819647	0	40	40	40
Tue Feb 13 11:20:45 2024	1707819645	0	40	40	40
Tue Feb 13 11:20:47 2024	1707819647	0	40	40	40
Tue Feb 13 11:20:45 2024	1707819645	0	41	41	40
Tue Feb 13 11:20:48 2024	1707819648	0	41	41	41
Tue Feb 13 11:20:47 2024	1707819647	0	41	41	41
Tue Feb 13 11:20:48 2024	1707819648	0	41	41	41
Tue Feb 13 11:20:47 2024	1707819647	0	41	41	41
Tue Feb 13 11:20:45 2024	1707819645	0	41	41	41
Tue Feb 13 11:20:45 2024	1707819645	0	41	41	41
Tue Feb 13 11:20:47 2024	1707819647	0	41	41	41
Tue Feb 13 11:20:46 2024	1707819646	0	41	41	41
Tue Feb 13 11:20:45 2024	1707819645	0	41	41	41
Tue Feb 13 11:20:46 2024	1707819646	0	41	41	41
Tue Feb 13 11:20:49 2024	1707819649	0	41	41	41
Tue Feb 13 11:20:45 2024	1707819645	0	41	41	41
Tue Feb 13 11:20:45 2024	1707819645	0	41	41	41
Tue Feb 13 11:20:45 2024	1707819645	0	41	41	41
Tue Feb 13 11:20:46 2024	1707819646	0	41	41	41
Tue Feb 13 11:20:47 2024	1707819647	0	41	41	41
Tue Feb 13 11:20:46 2024	1707819646	0	41	41	41
Tue Feb 13 11:20:45 2024	1707819645	0	41	41	41
Tue Feb 13 11:20:45 2024	1707819645	0	42	42	41
Tue Feb 13 11:20:45 2024	1707819645	0	42	42	41
Tue Feb 13 11:20:48 2024	1707819648	0	42	42	42
Tue Feb 13 11:20:44 2024	1707819644	0	42	42	41
Tue Feb 13 11:20:45 2024	1707819645	0	42	42	42
Tue Feb 13 11:20:48 2024	1707819648	0	42	42	42
Tue Feb 13 11:20:46 2024	1707819646	0	42	42	42
Tue Feb 13 11:20:46 2024	1707819646	0	42	42	42
Tue Feb 13 11:20:46 2024	1707819646	0	42	42	42
Tue Feb 13 11:20:47 2024	1707819647	0	42	42	42
Tue Feb 13 11:20:47 2024	1707819647	0	42	42	42
Tue Feb 13 11:20:48 2024	1707819648	0	42	42	42
Tue Feb 13 11:20:45 2024	1707819645	0	42	42	42
Tue Feb 13 11:20:48 2024	1707819648	0	42	42	42
Tue Feb 13 11:20:46 2024	1707819646	0	42	42	42
Tue Feb 13 11:20:47 2024	1707819647	0	42	42	42
Tue Feb 13 11:20:48 2024	1707819648	0	42	42	42
Tue Feb 13 11:20:46 2024	1707819646	0	42	42	42
Tue Feb 13 11:20:49 2024	1707819649	0	42	42	42
Tue Feb 13 11:20:48 2024	1707819648	0	42	42	42
Tue Feb 13 11:20:47 2024	1707819647	0	42	42	42
Tue Feb 13 11:20:47 2024	1707819647	0	42	42	42
Tue Feb 13 11:20:48 2024	1707819648	0	42	42	42
Tue Feb 13 11:20:45 2024	1707819645	0	43	43	42
Tue Feb 13 11:20:46 2024	1707819646	0	43	43	42
Tue Feb 13 11:20:52 2024	1707819652	0	43	43	43
Tue Feb 13 11:20:46 2024	1707819646	0	43	43	43
Tue Feb 13 11:20:48 2024	1707819648	0	43	43	43
Tue Feb 13 11:20:48 2024	1707819648	0	43	43	43
Tue Feb 13 11:20:47 2024	1707819647	0	43	43	43
Tue Feb 13 11:20:48 2024	1707819648	0	43	43	43
Tue Feb 13 11:20:55 2024	1707819655	0	43	43	43
Tue Feb 13 11:20:45 2024	1707819645	0	43	43	43
Tue Feb 13 11:20:51 2024	1707819651	0	43	43	43
Tue Feb 13 11:20:46 2024	1707819646	0	43	43	43
Tue Feb 13 11:20:48 2024	1707819648	0	43	43	43
Tue Feb 13 11:20:52 2024	1707819652	0	43	43	43
Tue Feb 13 11:20:51 2024	1707819651	0	43	43	43
Tue Feb 13 11:20:48 2024	1707819648	0	43	43	43
Tue Feb 13 11:20:52 2024	1707819652	0	43	43	43
Tue Feb 13 11:20:49 2024	1707819649	0	43	43	43
Tue Feb 13 11:20:47 2024	1707819647	0	43	43	43
Tue Feb 13 11:20:47 2024	1707819647	0	43	43	43
Tue Feb 13 11:20:55 2024	1707819655	0	43	43	43
Tue Feb 13 11:20:47 2024	1707819647	0	43	43	43
Tue Feb 13 11:20:50 2024	1707819650	0	43	43	43
Tue Feb 13 11:20:46 2024	1707819646	0	43	43	43
Tue Feb 13 11:20:56 2024	1707819656	0	43	43	43
Tue Feb 13 11:20:55 2024	1707819655	0	43	43	43
Tue Feb 13 11:20:48 2024	1707819648	0	43	43	43
Tue Feb 13 11:20:48 2024	1707819648	0	43	43	43
Tue Feb 13 11:20:52 2024	1707819652	0	43	43	43
Tue Feb 13 11:20:49 2024	1707819649	0	43	43	43
Tue Feb 13 11:20:48 2024	1707819648	0	44	44	43
Tue Feb 13 11:20:50 2024	1707819650	0	44	44	44
Tue Feb 13 11:20:49 2024	1707819649	0	44	44	44
Tue Feb 13 11:20:47 2024	1707819647	0	44	44	44
Tue Feb 13 11:20:48 2024	1707819648	0	44	44	44
Tue Feb 13 11:20:45 2024	1707819645	0	44	44	44
Tue Feb 13 11:20:51 2024	1707819651	0	44	44	44
Tue Feb 13 11:20:45 2024	1707819645	0	44	44	44
Tue Feb 13 11:20:55 2024	1707819655	0	44	44	44
Tue Feb 13 11:20:55 2024	1707819655	0	44	44	44
Tue Feb 13 11:20:48 2024	1707819648	0	44	44	44
Tue Feb 13 11:20:51 2024	1707819651	0	44	44	44
Tue Feb 13 11:20:52 2024	1707819652	0	44	44	44
Tue Feb 13 11:20:44 2024	1707819644	0	44	44	44
Tue Feb 13 11:20:52 2024	1707819652	0	44	44	44
Tue Feb 13 11:20:45 2024	1707819645	0	44	44	44
Tue Feb 13 11:20:52 2024	1707819652	0	44	44	44
Tue Feb 13 11:20:47 2024	1707819647	0	44	44	44
Tue Feb 13 11:20:55 2024	1707819655	0	44	44	44
Tue Feb 13 11:20:55 2024	1707819655	0	44	44	44
Tue Feb 13 11:20:56 2024	1707819656	0	44	44	44
Tue Feb 13 11:20:55 2024	1707819655	0	44	44	44
Tue Feb 13 11:20:50 2024	1707819650	0	44	44	44
Tue Feb 13 11:20:51 2024	1707819651	0	44	44	44
Tue Feb 13 11:20:45 2024	1707819645	0	44	44	44
Tue Feb 13 11:20:50 2024	1707819650	0	44	44	44
Tue Feb 13 11:20:51 2024	1707819651	0	44	44	44
Tue Feb 13 11:20:50 2024	1707819650	0	44	44	44
Tue Feb 13 11:20:46 2024	1707819646	0	44	44	44
Tue Feb 13 11:20:52 2024	1707819652	0	44	44	44
Tue Feb 13 11:20:52 2024	1707819652	0	44	44	44
Tue Feb 13 11:20:45 2024	1707819645	0	44	44	44
Tue Feb 13 11:20:51 2024	1707819651	0	44	44	44
Tue Feb 13 11:20:46 2024	1707819646	0	44	44	44
Tue Feb 13 11:20:44 2024	1707819644	0	45	45	44
Tue Feb 13 11:20:45 2024	1707819645	0	45	45	45
Tue Feb 13 11:20:47 2024	1707819647	0	45	45	44
Tue Feb 13 11:20:55 2024	1707819655	0	45	45	45
Tue Feb 13 11:20:52 2024	1707819652	0	45	45	45
Tue Feb 13 11:20:51 2024	1707819651	0	45	45	45
Tue Feb 13 11:20:49 2024	1707819649	0	45	45	45
Tue Feb 13 11:20:51 2024	1707819651	0	45	45	45
Tue Feb 13 11:20:49 2024	1707819649	0	45	45	45
Tue Feb 13 11:20:56 2024	1707819656	0	45	45	45
Tue Feb 13 11:20:55 2024	1707819655	0	45	45	45
Tue Feb 13 11:20:46 2024	1707819646	0	45	45	45
Tue Feb 13 11:20:51 2024	1707819651	0	45	45	45
Tue Feb 13 11:20:50 2024	1707819650	0	45	45	45
Tue Feb 13 11:20:46 2024	1707819646	0	45	45	45
Tue Feb 13 11:20:52 2024	1707819652	0	45	45	45
Tue Feb 13 11:20:49 2024	1707819649	0	45	45	45
Tue Feb 13 11:20:50 2024	1707819650	0	45	45	45
Tue Feb 13 11:20:49 2024	1707819649	0	45	45	45
Tue Feb 13 11:20:46 2024	1707819646	0	45	45	45
Tue Feb 13 11:20:49 2024	1707819649	0	45	45	45
Tue Feb 13 11:20:51 2024	1707819651	0	45	45	45
Tue Feb 13 11:20:50 2024	1707819650	0	45	45	45
Tue Feb 13 11:20:56 2024	1707819656	0	45	45	45
Tue Feb 13 11:20:50 2024	1707819650	0	45	45	45
Tue Feb 13 11:20:56 2024	1707819656	0	45	45	45
Tue Feb 13 11:20:52 2024	1707819652	0	45	45	45
Tue Feb 13 11:20:50 2024	1707819650	0	45	45	45
Tue Feb 13 11:20:49 2024	1707819649	0	46	46	45
Tue Feb 13 11:20:55 2024	1707819655	0	46	46	45
Tue Feb 13 11:20:49 2024	1707819649	0	46	46	46
Tue Feb 13 11:20:46 2024	1707819646	0	46	46	46
Tue Feb 13 11:20:55 2024	1707819655	0	46	46	46
Tue Feb 13 11:20:47 2024	1707819647	0	46	46	46
Tue Feb 13 11:20:50 2024	1707819650	0	46	46	46
Tue Feb 13 11:20:55 2024	1707819655	0	46	46	46
Tue Feb 13 11:20:49 2024	1707819649	0	46	46	46
Tue Feb 13 11:20:44 2024	1707819644	0	46	46	46
Tue Feb 13 11:20:51 2024	1707819651	0	46	46	46
Tue Feb 13 11:20:55 2024	1707819655	0	46	46	46
Tue Feb 13 11:20:49 2024	1707819649	0	46	46	46
Tue Feb 13 11:20:50 2024	1707819650	0	46	46	46
Tue Feb 13 11:20:51 2024	1707819651	0	46	46	46
Tue Feb 13 11:20:46 2024	1707819646	0	46	46	46
Tue Feb 13 11:20:51 2024	1707819651	0	46	46	46
Tue Feb 13 11:20:49 2024	1707819649	0	46	46	46
Tue Feb 13 11:20:49 2024	1707819649	0	46	46	46
Tue Feb 13 11:20:56 2024	1707819656	0	47	47	46
Tue Feb 13 11:20:55 2024	1707819655	0	47	47	46
Tue Feb 13 11:20:49 2024	1707819649	0	47	47	47
Tue Feb 13 11:20:51 2024	1707819651	0	47	47	47
Tue Feb 13 11:20:51 2024	1707819651	0	47	47	47
Tue Feb 13 11:20:45 2024	1707819645	0	47	47	47
Tue Feb 13 11:20:51 2024	1707819651	0	47	47	47
Tue Feb 13 11:20:48 2024	1707819648	0	47	47	47
Tue Feb 13 11:20:47 2024	1707819647	0	47	47	47
Tue Feb 13 11:20:51 2024	1707819651	0	47	47	47
Tue Feb 13 11:20:46 2024	1707819646	0	47	47	47
Tue Feb 13 11:20:48 2024	1707819648	0	47	47	47
Tue Feb 13 11:20:50 2024	1707819650	0	47	47	47
Tue Feb 13 11:20:55 2024	1707819655	0	47	47	47
Tue Feb 13 11:20:49 2024	1707819649	0	48	48	47
Tue Feb 13 11:20:50 2024	1707819650	0	48	48	48
Tue Feb 13 11:20:51 2024	1707819651	0	48	48	48
Tue Feb 13 11:20:50 2024	1707819650	0	48	48	48
Tue Feb 13 11:20:50 2024	1707819650	0	48	48	48
Tue Feb 13 11:20:46 2024	1707819646	0	48	48	48
Tue Feb 13 11:20:55 2024	1707819655	0	48	48	48
Tue Feb 13 11:20:51 2024	1707819651	0	48	48	48
Tue Feb 13 11:20:48 2024	1707819648	0	49	49	49
Tue Feb 13 11:20:55 2024	1707819655	0	49	49	49
Tue Feb 13 11:20:47 2024	1707819647	0	49	49	49
Tue Feb 13 11:20:50 2024	1707819650	0	49	49	49
Tue Feb 13 11:20:45 2024	1707819645	0	49	49	49
Tue Feb 13 11:20:51 2024	1707819651	0	50	50	49
Tue Feb 13 11:20:47 2024	1707819647	0	50	50	50
Tue Feb 13 11:20:56 2024	1707819656	0	51	51	51
Tue Feb 13 11:20:50 2024	1707819650	0	51	51	51
Tue Feb 13 11:20:50 2024	1707819650	0	52	52	52
Tue Feb 13 11:20:49 2024	1707819649	0	53	53	53
Tue Feb 13 11:20:55 2024	1707819655	0	53	53	53
Tue Feb 13 11:20:50 2024	1707819650	0	53	53	53
Tue Feb 13 11:20:50 2024	1707819650	0	54	54	53
Tue Feb 13 11:20:46 2024	1707819646	0	55	55	55
Tue Feb 13 11:20:51 2024	1707819651	0	55	55	55
Tue Feb 13 11:20:44 2024	1707819644	117	41	158	41
